business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to finfish farming and fish hatcheries.,43958.73,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to dual-purpose cattle ranching and farming.,37970.9,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to wheat farming.,17411.17,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to poultry hatcheries.,33444.58,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to finfish farming and fish hatcheries.,1676.27,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to cotton farming.,34402.18,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to sheep farming.,33255.09,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to apple orchards.,18898.32,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to tobacco farming.,23718.77,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other vegetable (except potato) and melon farming.,26984.85,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other vegetable (except potato) and melon farming.,23999.13,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to strawberry farming.,46228.67,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other poultry production.,23657.4,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other animal production.,25659.0,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to beef cattle ranching and farming.,17663.94,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to soybean farming.,6792.9,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to orange groves.,23674.05,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to hay farming.,20150.5,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to poultry hatcheries.,40386.92,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to beef cattle ranching and farming.,27500.19,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to potato farming.,32860.63,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to nursery and tree production.,18288.48,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to other noncitrus fruit farming.,44587.55,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to horses and other equine production.,15587.67,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to other aquaculture.,1227.28,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to nursery and tree production.,1768.89,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to wheat farming.,47851.08,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to chicken egg production.,35021.53,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to horses and other equine production.,5580.93,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to soybean farming.,23303.52,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to finfish farming and fish hatcheries.,28476.89,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to beef cattle ranching and farming.,38760.07,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to chicken egg production.,13564.25,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to dual-purpose cattle ranching and farming.,31952.07,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other vegetable (except potato) and melon farming.,28557.72,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to peanut farming.,29107.09,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to tree nut farming.,45887.11,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to hay farming.,8306.43,CropGen,Procured for hay farming operations.,Hay Farming
Activities related to beef cattle ranching and farming.,35999.3,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to oilseed and grain combination farming.,21963.41,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to cotton farming.,10676.19,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to strawberry farming.,38091.58,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
